,fecha,conteo
0,2022-08-02,17
1,2022-08-03,4
2,2022-08-04,4
3,2022-08-05,4
4,2022-08-06,4
5,2022-08-07,4
6,2022-08-08,4
7,2022-08-09,4
8,2022-08-10,4
9,2022-08-11,4
10,2022-08-12,3
11,2022-08-13,3
12,2022-08-14,3
13,2022-08-15,3
14,2022-08-16,3
15,2022-08-17,3
16,2022-08-18,2
17,2022-08-19,1
18,2022-08-20,1
19,2022-08-21,1
20,2022-08-22,1
